year,state,state_code,county,candidate,party,candidate_votes,total_votes
2012,Arkansas,AR,Saline,Mitt Romney,republican,32963.0,47062
2012,Arkansas,AR,Scott,Barack Obama,democrat,897.0,3640
2012,Arkansas,AR,Scott,Mitt Romney,republican,2631.0,3640
2012,Arkansas,AR,Searcy,Barack Obama,democrat,814.0,3694
2012,Arkansas,AR,Searcy,Mitt Romney,republican,2699.0,3694
2012,Arkansas,AR,Sebastian,Barack Obama,democrat,13092.0,43362
2012,Arkansas,AR,Sebastian,Mitt Romney,republican,29169.0,43362
2012,Arkansas,AR,Sevier,Barack Obama,democrat,1042.0,4330
2012,Arkansas,AR,Sevier,Mitt Romney,republican,3136.0,4330
2012,Arkansas,AR,Sharp,Barack Obama,democrat,2092.0,7283
2012,Arkansas,AR,Sharp,Mitt Romney,republican,4921.0,7283
2012,Arkansas,AR,Stone,Barack Obama,democrat,1356.0,5354
2012,Arkansas,AR,Stone,Mitt Romney,republican,3776.0,5354
2012,Arkansas,AR,Union,Barack Obama,democrat,6196.0,17177
2012,Arkansas,AR,Union,Mitt Romney,republican,10699.0,17177
2012,Arkansas,AR,Van Buren,Barack Obama,democrat,1832.0,6430
2012,Arkansas,AR,Van Buren,Mitt Romney,republican,4365.0,6430
2012,Arkansas,AR,Washington,Barack Obama,democrat,28236.0,70460
2012,Arkansas,AR,Washington,Mitt Romney,republican,39688.0,70460
2012,Arkansas,AR,White,Barack Obama,democrat,5765.0,26514
2012,Arkansas,AR,White,Mitt Romney,republican,20011.0,26514
2012,Arkansas,AR,Woodruff,Barack Obama,democrat,1340.0,2685
2012,Arkansas,AR,Woodruff,Mitt Romney,republican,1227.0,2685
2012,Arkansas,AR,Yell,Barack Obama,democrat,1722.0,5974
2012,Arkansas,AR,Yell,Mitt Romney,republican,4042.0,5974
2012,California,CA,Alameda,Barack Obama,democrat,469684.0,595642
2012,California,CA,Alameda,Mitt Romney,republican,108182.0,595642
2012,California,CA,Alpine,Barack Obama,democrat,389.0,653
2012,California,CA,Alpine,Mitt Romney,republican,236.0,653
2012,California,CA,Amador,Barack Obama,democrat,6830.0,17649
2012,California,CA,Amador,Mitt Romney,republican,10281.0,17649
2012,California,CA,Butte,Barack Obama,democrat,42669.0,90752
2012,California,CA,Butte,Mitt Romney,republican,44479.0,90752
2012,California,CA,Calaveras,Barack Obama,democrat,8670.0,21786
2012,California,CA,Calaveras,Mitt Romney,republican,12365.0,21786
2012,California,CA,Colusa,Barack Obama,democrat,2314.0,6034
2012,California,CA,Colusa,Mitt Romney,republican,3601.0,6034
2012,California,CA,Contra Costa,Barack Obama,democrat,290824.0,438226
2012,California,CA,Contra Costa,Mitt Romney,republican,136517.0,438226
2012,California,CA,Del Norte,Barack Obama,democrat,3791.0,8770
2012,California,CA,Del Norte,Mitt Romney,republican,4614.0,8770
2012,California,CA,El Dorado,Barack Obama,democrat,35166.0,88774
2012,California,CA,El Dorado,Mitt Romney,republican,50973.0,88774
2012,California,CA,Fresno,Barack Obama,democrat,129129.0,258827
2012,California,CA,Fresno,Mitt Romney,republican,124490.0,258827
2012,California,CA,Glenn,Barack Obama,democrat,3301.0,9211
2012,California,CA,Glenn,Mitt Romney,republican,5632.0,9211
2012,California,CA,Humboldt,Barack Obama,democrat,34457.0,57470
2012,California,CA,Humboldt,Mitt Romney,republican,18825.0,57470
2012,California,CA,Imperial,Barack Obama,democrat,25136.0,38565
2012,California,CA,Imperial,Mitt Romney,republican,12777.0,38565
2012,California,CA,Inyo,Barack Obama,democrat,3422.0,8036
2012,California,CA,Inyo,Mitt Romney,republican,4340.0,8036
2012,California,CA,Kern,Barack Obama,democrat,89495.0,221472
2012,California,CA,Kern,Mitt Romney,republican,126618.0,221472
2012,California,CA,Kings,Barack Obama,democrat,12979.0,31418
2012,California,CA,Kings,Mitt Romney,republican,17671.0,31418
2012,California,CA,Lake,Barack Obama,democrat,13163.0,23391
2012,California,CA,Lake,Mitt Romney,republican,9200.0,23391
2012,California,CA,Lassen,Barack Obama,democrat,3053.0,10683
2012,California,CA,Lassen,Mitt Romney,republican,7296.0,10683
2012,California,CA,Los Angeles,Barack Obama,democrat,2216903.0,3181067
2012,California,CA,Los Angeles,Mitt Romney,republican,885333.0,3181067
2012,California,CA,Madera,Barack Obama,democrat,16018.0,39866
2012,California,CA,Madera,Mitt Romney,republican,22852.0,39866
2012,California,CA,Marin,Barack Obama,democrat,99896.0,134516
2012,California,CA,Marin,Mitt Romney,republican,30880.0,134516
2012,California,CA,Mariposa,Barack Obama,democrat,3498.0,9000
2012,California,CA,Mariposa,Mitt Romney,republican,5140.0,9000
2012,California,CA,Mendocino,Barack Obama,democrat,23193.0,35017
2012,California,CA,Mendocino,Mitt Romney,republican,9658.0,35017
2012,California,CA,Merced,Barack Obama,democrat,33005.0,62057
2012,California,CA,Merced,Mitt Romney,republican,27581.0,62057
2012,California,CA,Modoc,Barack Obama,democrat,1111.0,3986
2012,California,CA,Modoc,Mitt Romney,republican,2777.0,3986
2012,California,CA,Mono,Barack Obama,democrat,2733.0,5181
2012,California,CA,Mono,Mitt Romney,republican,2285.0,5181
2012,California,CA,Monterey,Barack Obama,democrat,82920.0,123518
2012,California,CA,Monterey,Mitt Romney,republican,37390.0,123518
2012,California,CA,Napa,Barack Obama,democrat,35870.0,56968
2012,California,CA,Napa,Mitt Romney,republican,19526.0,56968
2012,California,CA,Nevada,Barack Obama,democrat,24663.0,51676
2012,California,CA,Nevada,Mitt Romney,republican,24986.0,51676
2012,California,CA,Orange,Barack Obama,democrat,512440.0,1122664
2012,California,CA,Orange,Mitt Romney,republican,582332.0,1122664
2012,California,CA,Placer,Barack Obama,democrat,66818.0,171322
2012,California,CA,Placer,Mitt Romney,republican,99921.0,171322
2012,California,CA,Plumas,Barack Obama,democrat,4026.0,10047
2012,California,CA,Plumas,Mitt Romney,republican,5721.0,10047
2012,California,CA,Riverside,Barack Obama,democrat,329063.0,661907
2012,California,CA,Riverside,Mitt Romney,republican,318127.0,661907
2012,California,CA,Sacramento,Barack Obama,democrat,300503.0,516809
2012,California,CA,Sacramento,Mitt Romney,republican,202514.0,516809
2012,California,CA,San Benito,Barack Obama,democrat,11276.0,19044
2012,California,CA,San Benito,Mitt Romney,republican,7343.0,19044
2012,California,CA,San Bernardino,Barack Obama,democrat,305109.0,581517
2012,California,CA,San Bernardino,Mitt Romney,republican,262358.0,581517
2012,California,CA,San Diego,Barack Obama,democrat,626957.0,1192282
2012,California,CA,San Diego,Mitt Romney,republican,536726.0,1192282
2012,California,CA,San Francisco,Barack Obama,democrat,301723.0,361209
2012,California,CA,San Francisco,Mitt Romney,republican,47076.0,361209
2012,California,CA,San Joaquin,Barack Obama,democrat,114121.0,204697
2012,California,CA,San Joaquin,Mitt Romney,republican,86071.0,204697
