Location,total_votes,2008_democrat_votes,2008_republican_votes
"California, Yolo",79749,53488.0,24592.0
"California, Yuba",21401,8866.0,12007.0
"Colorado, Adams",160499,93443.0,63976.0
"Colorado, Alamosa",6286,3521.0,2635.0
"Colorado, Arapahoe",266148,148218.0,113866.0
"Colorado, Archuleta",6625,2836.0,3638.0
"Colorado, Baca",2175,536.0,1572.0
"Colorado, Bent",1920,799.0,1077.0
"Colorado, Boulder",171763,124159.0,44904.0
"Colorado, Broomfield",29453,16168.0,12757.0
"Colorado, Chaffee",9920,4861.0,4873.0
"Colorado, Cheyenne",1111,198.0,890.0
"Colorado, Clear Creek",5767,3332.0,2300.0
"Colorado, Conejos",3874,2154.0,1653.0
"Colorado, Costilla",1697,1245.0,415.0
"Colorado, Crowley",1558,552.0,976.0
"Colorado, Custer",2629,912.0,1672.0
"Colorado, Delta",15434,5084.0,10067.0
"Colorado, Denver",271533,204882.0,62567.0
"Colorado, Dolores",1217,369.0,818.0
"Colorado, Douglas",151819,61960.0,88108.0
"Colorado, Eagle",21652,13187.0,8179.0
"Colorado, Elbert",13206,3819.0,9108.0
"Colorado, El Paso",273175,108899.0,160318.0
"Colorado, Fremont",19919,6844.0,12668.0
"Colorado, Garfield",23082,11357.0,11359.0
"Colorado, Gilpin",3301,1954.0,1253.0
"Colorado, Grand",8308,4037.0,4128.0
"Colorado, Gunnison",8870,5556.0,3131.0
"Colorado, Hinsdale",599,240.0,344.0
"Colorado, Huerfano",3643,1989.0,1580.0
"Colorado, Jackson",913,277.0,624.0
"Colorado, Jefferson",295062,158153.0,131627.0
"Colorado, Kiowa",852,178.0,650.0
"Colorado, Kit Carson",3442,912.0,2455.0
"Colorado, Lake",3002,1859.0,1078.0
"Colorado, La Plata",27979,16057.0,11503.0
"Colorado, Larimer",166373,89822.0,73641.0
"Colorado, Las Animas",6761,3562.0,3086.0
"Colorado, Lincoln",2304,546.0,1717.0
"Colorado, Logan",8977,2846.0,6002.0
"Colorado, Mesa",69631,24008.0,44578.0
"Colorado, Mineral",623,270.0,334.0
"Colorado, Moffat",5871,1582.0,4135.0
"Colorado, Montezuma",11825,4661.0,6961.0
"Colorado, Montrose",19153,6495.0,12199.0
"Colorado, Morgan",10234,3813.0,6272.0
"Colorado, Otero",8064,3546.0,4393.0
"Colorado, Ouray",3060,1636.0,1367.0
"Colorado, Park",9383,4250.0,4896.0
"Colorado, Phillips",2260,622.0,1612.0
"Colorado, Pitkin",9966,7349.0,2484.0
"Colorado, Prowers",4615,1487.0,3043.0
"Colorado, Pueblo",72427,41097.0,30257.0
"Colorado, Rio Blanco",3147,655.0,2437.0
"Colorado, Rio Grande",5444,2448.0,2930.0
"Colorado, Routt",13199,8270.0,4725.0
"Colorado, Saguache",2747,1730.0,953.0
"Colorado, San Juan",496,264.0,218.0
"Colorado, San Miguel",4350,3349.0,933.0
"Colorado, Sedgwick",1351,468.0,857.0
"Colorado, Summit",14899,9802.0,4883.0
"Colorado, Teller",12906,4513.0,8146.0
"Colorado, Washington",2513,529.0,1949.0
"Colorado, Weld",105866,47292.0,56526.0
"Colorado, Yuma",4483,1117.0,3286.0
"Connecticut, Fairfield",411096,241320.0,166845.0
"Connecticut, Hartford",411785,268301.0,138716.0
"Connecticut, Litchfield",98870,51037.0,46176.0
"Connecticut, Middlesex",87155,52966.0,32907.0
"Connecticut, New Haven",381739,232820.0,144465.0
"Connecticut, New London",124765,74745.0,48460.0
"Connecticut, Tolland",75406,44969.0,29262.0
"Connecticut, Windham",56269,34133.0,21210.0
"Delaware, Kent",66925,36392.0,29827.0
"Delaware, New Castle",256417,178768.0,74608.0
"Delaware, Sussex",89070,40299.0,47939.0
"District of Columbia, District of Columbia",265853,245800.0,17367.0
"Florida, Alachua",125519,75565.0,48513.0
"Florida, Baker",11059,2327.0,8672.0
"Florida, Bay",81127,23653.0,56683.0
"Florida, Bradford",11676,3430.0,8136.0
"Florida, Brevard",287859,127620.0,157589.0
"Florida, Broward",733899,492640.0,237729.0
"Florida, Calhoun",6244,1821.0,4345.0
"Florida, Charlotte",85158,39031.0,45205.0
"Florida, Citrus",76158,31460.0,43706.0
"Florida, Clay",94577,26697.0,67203.0
"Florida, Collier",141988,54450.0,86379.0
"Florida, Columbia",28128,9171.0,18670.0
"Florida, Dixie",7264,1925.0,5194.0
"Florida, Duval",415761,202618.0,210537.0
"Florida, Escambia",154447,61572.0,91411.0
"Florida, Flagler",49031,24726.0,23951.0
"Florida, Franklin",6029,2134.0,3818.0
"Florida, Gadsden",22510,15582.0,6811.0
"Florida, Gilchrist",7819,1996.0,5656.0
"Florida, Glades",4261,1674.0,2533.0
"Florida, Gulf",7205,2149.0,4980.0
"Florida, Hamilton",5587,2364.0,3179.0
"Florida, Hardee",7412,2568.0,4763.0
"Florida, Hendry",10879,4998.0,5780.0
"Florida, Hernando",87901,41886.0,45021.0
"Florida, Highlands",44783,18135.0,26221.0
"Florida, Hillsborough",513312,272963.0,236355.0
"Florida, Holmes",8589,1446.0,7033.0
"Florida, Indian River",70591,29710.0,40176.0
"Florida, Jackson",21565,7671.0,13717.0
"Florida, Jefferson",7957,4088.0,3797.0
"Florida, Lafayette",3359,642.0,2679.0
"Florida, Lake",146926,62948.0,82802.0
"Florida, Lee",269276,119701.0,147608.0
"Florida, Leon",148608,91747.0,55705.0
"Florida, Levy",18725,6711.0,11754.0
"Florida, Liberty",3278,895.0,2339.0
"Florida, Madison",8907,4270.0,4544.0
"Florida, Manatee",151994,70034.0,80721.0
"Florida, Marion",162022,70839.0,89628.0
"Florida, Martin",78294,33508.0,44143.0
"Florida, Miami-Dade",863486,499831.0,360551.0
"Florida, Monroe",40272,20907.0,18933.0
"Florida, Nassau",38304,10618.0,27403.0
"Florida, Okaloosa",95529,25872.0,68789.0
"Florida, Okeechobee",12786,5108.0,7561.0
"Florida, Orange",462711,273009.0,186832.0
"Florida, Osceola",100670,59962.0,40086.0
"Florida, Palm Beach",590500,361271.0,226037.0
"Florida, Pasco",214866,102417.0,110104.0
"Florida, Pinellas",463282,248299.0,210066.0
"Florida, Polk",244833,113865.0,128878.0
"Florida, Putnam",33171,13236.0,19637.0
"Florida, St. Johns",105844,35791.0,69222.0
"Florida, St. Lucie",120579,67125.0,52512.0
"Florida, Santa Rosa",76185,19470.0,55972.0
"Florida, Sarasota",207353,102686.0,102897.0
"Florida, Seminole",205895,99335.0,105070.0
"Florida, Sumter",48868,17655.0,30866.0
"Florida, Suwannee",17662,4916.0,12534.0
"Florida, Taylor",9366,2803.0,6457.0
"Florida, Union",5285,1299.0,3933.0
"Florida, Volusia",243824,127795.0,113938.0
"Florida, Wakulla",14376,5311.0,8877.0
"Florida, Walton",27046,7174.0,19561.0
"Florida, Washington",11131,2863.0,8178.0
"Georgia, Appling",6996,1846.0,5085.0
"Georgia, Atkinson",2904,938.0,1941.0
"Georgia, Bacon",3938,817.0,3089.0
"Georgia, Baker",1687,846.0,828.0
"Georgia, Baldwin",16537,8587.0,7823.0
"Georgia, Banks",6241,1027.0,5120.0
"Georgia, Barrow",24582,6657.0,17625.0
"Georgia, Bartow",36093,9662.0,25976.0
"Georgia, Ben Hill",6036,2590.0,3417.0
"Georgia, Berrien",6449,1471.0,4901.0
"Georgia, Bibb",66368,38987.0,27037.0
"Georgia, Bleckley",5071,1380.0,3657.0
"Georgia, Brantley",6277,1119.0,5080.0
"Georgia, Brooks",6201,2669.0,3507.0
"Georgia, Bryan",12845,3636.0,9112.0
"Georgia, Bulloch",23920,9586.0,14174.0
"Georgia, Burke",9626,5233.0,4344.0
"Georgia, Butts",9091,3065.0,5947.0
"Georgia, Calhoun",2211,1342.0,862.0
"Georgia, Camden",17084,6482.0,10502.0
"Georgia, Candler",3518,1209.0,2286.0
"Georgia, Carroll",43498,14334.0,28661.0
"Georgia, Catoosa",24496,6025.0,18218.0
"Georgia, Charlton",3685,1197.0,2466.0
"Georgia, Chatham",110238,62755.0,46829.0
"Georgia, Chattahoochee",1653,830.0,811.0
"Georgia, Chattooga",8307,2596.0,5572.0
"Georgia, Cherokee",93772,22350.0,70279.0
"Georgia, Clarke",45510,29591.0,15333.0
"Georgia, Clay",1440,879.0,558.0
"Georgia, Clayton",99438,82527.0,16506.0
"Georgia, Clinch",2696,989.0,1678.0
"Georgia, Cobb",315444,141216.0,170957.0
"Georgia, Coffee",13747,4811.0,8872.0
"Georgia, Colquitt",13435,4139.0,9185.0
"Georgia, Columbia",55351,15703.0,39322.0
"Georgia, Cook",5903,2075.0,3782.0
"Georgia, Coweta",53549,15521.0,37571.0
"Georgia, Crawford",5240,1832.0,3358.0
"Georgia, Crisp",7550,3085.0,4424.0
"Georgia, Dade",6408,1612.0,4703.0
