Location,total_votes,2000_republican_votes,2000_democrat_votes
"Florida, Miami-Dade",625449,289533,328808
"Florida, Monroe",33896,16059,16483
"Florida, Nassau",23780,16404,6952
"Florida, Okaloosa",70680,52093,16948
"Florida, Okeechobee",9853,5057,4588
"Florida, Orange",280125,134517,140220
"Florida, Osceola",55659,26212,28181
"Florida, Palm Beach",433186,152951,269732
"Florida, Pasco",142731,68582,69564
"Florida, Pinellas",398472,184825,200630
"Florida, Polk",168607,90295,75200
"Florida, Putnam",26222,13447,12102
"Florida, St. Johns",60746,39546,19502
"Florida, St. Lucie",77989,34705,41559
"Florida, Santa Rosa",50319,36274,12802
"Florida, Sarasota",160942,83100,72853
"Florida, Seminole",137634,75677,59174
"Florida, Sumter",22261,12127,9637
"Florida, Suwannee",12473,8006,4075
"Florida, Taylor",6808,4056,2649
"Florida, Union",3826,2332,1407
"Florida, Volusia",183654,82357,97304
"Florida, Wakulla",8587,4512,3838
"Florida, Walton",18318,12182,5642
"Florida, Washington",8029,4994,2798
"Georgia, Appling",6099,3940,2093
"Georgia, Atkinson",2071,1228,821
"Georgia, Bacon",2995,2010,956
"Georgia, Baker",1519,615,893
"Georgia, Baldwin",12126,6041,5893
"Georgia, Banks",4533,3202,1220
"Georgia, Barrow",12102,7925,3657
"Georgia, Bartow",22781,14720,7508
"Georgia, Ben Hill",4661,2381,2234
"Georgia, Berrien",4410,2718,1640
"Georgia, Bibb",49776,24071,24996
"Georgia, Bleckley",3749,2436,1273
"Georgia, Brantley",4566,3118,1372
"Georgia, Brooks",4551,2406,2096
"Georgia, Bryan",7059,4835,2172
"Georgia, Bulloch",14782,8990,5561
"Georgia, Burke",7135,3381,3720
"Georgia, Butts",5635,3198,2281
"Georgia, Calhoun",1887,768,1107
"Georgia, Camden",10119,6371,3636
"Georgia, Candler",2722,1643,1053
"Georgia, Carroll",25741,16326,8752
"Georgia, Catoosa",17721,12033,5470
"Georgia, Charlton",2816,1770,1015
"Georgia, Chatham",76475,37847,37590
"Georgia, Chattahoochee",1207,590,600
"Georgia, Chattooga",6477,3640,2729
"Georgia, Cherokee",52348,38033,12295
"Georgia, Clarke",28904,11850,15167
"Georgia, Clay",1277,448,821
"Georgia, Clayton",61402,19966,40042
"Georgia, Clinch",1929,1091,816
"Georgia, Cobb",235027,140494,86676
"Georgia, Coffee",9430,5756,3593
"Georgia, Colquitt",9972,6589,3297
"Georgia, Columbia",36008,26660,8969
"Georgia, Cook",3944,2279,1639
"Georgia, Coweta",31226,21327,9056
"Georgia, Crawford",3567,1987,1513
"Georgia, Crisp",5609,3285,2268
"Georgia, Dade",5049,3333,1628
"Georgia, Dawson",5898,4210,1458
"Georgia, Decatur",7648,4187,3398
"Georgia, DeKalb",219980,58807,154509
"Georgia, Dodge",5877,3472,2326
"Georgia, Dooly",3520,1588,1901
"Georgia, Dougherty",29064,12248,16650
"Georgia, Douglas",30964,18893,11162
"Georgia, Early",3585,1938,1622
"Georgia, Echols",898,614,272
"Georgia, Effingham",10650,7326,3232
"Georgia, Elbert",5853,3262,2527
"Georgia, Emanuel",6263,3343,2835
"Georgia, Evans",3080,1841,1217
"Georgia, Fannin",8390,5463,2736
"Georgia, Fayette",42449,29338,11912
"Georgia, Floyd",26825,16194,10282
"Georgia, Forsyth",35755,27769,6694
"Georgia, Franklin",5762,3659,2040
"Georgia, Fulton",263212,104870,152039
"Georgia, Gilmer",7370,4941,2230
"Georgia, Glascock",1020,763,249
"Georgia, Glynn",22384,14346,7778
"Georgia, Gordon",12205,7944,4032
"Georgia, Grady",6703,3894,2721
"Georgia, Greene",5197,2980,2137
"Georgia, Gwinnett",191111,121756,61434
"Georgia, Habersham",9691,6964,2530
"Georgia, Hall",38150,26841,10259
"Georgia, Hancock",3086,662,2414
"Georgia, Haralson",8167,5153,2869
"Georgia, Harris",8562,5554,2912
"Georgia, Hart",7536,4242,3192
"Georgia, Heard",3198,1947,1178
"Georgia, Henry",38867,25815,11971
"Georgia, Houston",36988,23174,13301
"Georgia, Irwin",2852,1720,1105
"Georgia, Jackson",11635,7878,3420
"Georgia, Jasper",3943,2298,1558
"Georgia, Jeff Davis",4221,2797,1379
"Georgia, Jefferson",5566,2559,2973
"Georgia, Jenkins",2593,1317,1250
"Georgia, Johnson",2883,1797,1065
"Georgia, Jones",8068,4850,3102
"Georgia, Lamar",5230,2912,2194
"Georgia, Lanier",1904,1048,832
"Georgia, Laurens",14036,8133,5724
"Georgia, Lee",7884,5872,1936
"Georgia, Liberty",9972,4455,5347
"Georgia, Lincoln",3103,1807,1275
"Georgia, Long",2314,1320,975
"Georgia, Lowndes",25432,14462,10616
"Georgia, Lumpkin",6750,4427,2121
"Georgia, McDuffie",6550,3926,2580
"Georgia, McIntosh",3837,1766,2047
"Georgia, Macon",4355,1566,2757
"Georgia, Madison",7993,5529,2285
"Georgia, Marion",2184,1187,982
"Georgia, Meriwether",6709,3162,3441
"Georgia, Miller",2150,1349,783
"Georgia, Mitchell",5799,2790,2971
"Georgia, Monroe",7541,4561,2839
"Georgia, Montgomery",2509,1465,1013
"Georgia, Morgan",5902,3524,2238
"Georgia, Murray",8372,5539,2684
"Georgia, Muscogee",52163,23479,28193
"Georgia, Newton",18375,11127,6703
"Georgia, Oconee",11168,7611,3184
"Georgia, Oglethorpe",4385,2706,1519
"Georgia, Paulding",24260,16881,6743
"Georgia, Peach",7137,3525,3540
"Georgia, Pickens",8201,5488,2489
"Georgia, Pierce",4681,3348,1300
"Georgia, Pike",4885,3358,1413
"Georgia, Polk",10116,5841,4112
"Georgia, Pulaski",3346,1922,1390
"Georgia, Putnam",6299,3596,2612
"Georgia, Quitman",904,348,542
"Georgia, Rabun",5341,3451,1776
"Georgia, Randolph",2569,1174,1381
"Georgia, Richmond",57538,25485,31413
"Georgia, Rockdale",24649,15440,8295
"Georgia, Schley",1176,706,460
"Georgia, Screven",4719,2461,2233
"Georgia, Seminole",2877,1537,1313
"Georgia, Spalding",15391,9271,5831
"Georgia, Stephens",8376,5370,2869
"Georgia, Stewart",1954,675,1267
"Georgia, Sumter",9697,4847,4748
"Georgia, Talbot",2531,844,1662
"Georgia, Taliaferro",832,271,556
"Georgia, Tattnall",5610,3597,1963
"Georgia, Taylor",2780,1412,1340
"Georgia, Telfair",3493,1693,1777
"Georgia, Terrell",3113,1504,1584
"Georgia, Thomas",12058,7093,4862
"Georgia, Tift",10328,6678,3547
"Georgia, Toombs",7210,4487,2643
"Georgia, Towns",4497,2902,1495
"Georgia, Treutlen",1963,1062,879
"Georgia, Troup",17804,11198,6379
"Georgia, Turner",2456,1258,1169
"Georgia, Twiggs",3615,1570,1977
"Georgia, Union",6956,4567,2230
"Georgia, Upson",8282,5019,3158
"Georgia, Walker",18895,12326,6341
"Georgia, Walton",19083,12966,5484
"Georgia, Ware",9628,6099,3480
"Georgia, Warren",2145,933,1196
"Georgia, Washington",6691,3162,3476
"Georgia, Wayne",8004,5219,2736
"Georgia, Webster",909,359,541
"Georgia, Wheeler",1575,813,752
"Georgia, White",7043,4857,2014
"Georgia, Whitfield",23302,15852,7034
"Georgia, Wilcox",2365,1381,962
"Georgia, Wilkes",4026,2044,1940
"Georgia, Wilkinson",3740,1800,1884
"Georgia, Worth",6061,3792,2214
"Hawaii, Hawaii",50860,17050,28670
"Hawaii, Honolulu",255990,101310,139618
"Hawaii, Kauai",21773,6583,13470
"Hawaii, Maui",39248,12876,23484
"Idaho, Ada",123485,75050,40650
"Idaho, Adams",1909,1476,336
"Idaho, Bannock",30852,18223,10892
"Idaho, Bear Lake",2899,2296,517
"Idaho, Benewah",3687,2606,895
"Idaho, Bingham",14465,10628,3310
"Idaho, Blaine",7938,3528,3748
"Idaho, Boise",3055,2019,745
"Idaho, Bonner",14537,8945,4318
"Idaho, Bonneville",33556,24988,7235
"Idaho, Boundary",3884,2797,832
"Idaho, Butte",1460,1054,354
"Idaho, Camas",507,359,113
"Idaho, Canyon",43000,30560,10588
"Idaho, Caribou",3177,2601,475
"Idaho, Cassia",7279,5983,1087
"Idaho, Clark",382,311,63
"Idaho, Clearwater",3896,2885,841
"Idaho, Custer",2330,1794,416
"Idaho, Elmore",6966,4891,1840
"Idaho, Franklin",4243,3594,513
"Idaho, Fremont",5088,4242,699
"Idaho, Gem",5983,4376,1346
