Location,total_votes,2000_republican_votes,2000_democrat_votes
"Mississippi, DeSoto",34936,24879,9586
"Mississippi, Forrest",22251,13281,8500
"Mississippi, Franklin",3953,2427,1486
"Mississippi, George",7284,5143,1977
"Mississippi, Greene",4436,3082,1317
"Mississippi, Grenada",9385,5129,4163
"Mississippi, Hancock",14548,9326,4801
"Mississippi, Harrison",52616,32256,19142
"Mississippi, Hinds",87770,37753,46789
"Mississippi, Holmes",7422,1937,5447
"Mississippi, Humphreys",3944,1628,2288
"Mississippi, Issaquena",941,366,555
"Mississippi, Itawamba",8564,5424,2994
"Mississippi, Jackson",45107,30068,14193
"Mississippi, Jasper",6447,3294,3104
"Mississippi, Jefferson",3408,600,2786
"Mississippi, Jefferson Davis",5317,2437,2835
"Mississippi, Jones",24340,16341,7713
"Mississippi, Kemper",4261,1915,2311
"Mississippi, Lafayette",12678,7081,5139
"Mississippi, Lamar",16602,12795,3478
"Mississippi, Lauderdale",25970,17315,8412
"Mississippi, Lawrence",6587,3674,2841
"Mississippi, Leake",6952,4114,2793
"Mississippi, Lee",25094,15551,9142
"Mississippi, Leflore",11276,4626,6401
"Mississippi, Lincoln",13000,8540,4358
"Mississippi, Lowndes",19230,11404,7537
"Mississippi, Madison",29859,19109,10416
"Mississippi, Marion",10998,6796,4114
"Mississippi, Marshall",12592,4723,7735
"Mississippi, Monroe",13360,7397,5783
"Mississippi, Montgomery",4849,2630,2187
"Mississippi, Neshoba",9066,6409,2563
"Mississippi, Newton",7738,5540,2147
"Mississippi, Noxubee",4954,1530,3383
"Mississippi, Oktibbeha",14804,7959,6443
"Mississippi, Panola",11389,5424,5880
"Mississippi, Pearl River",16477,11575,4611
"Mississippi, Perry",4359,3026,1285
"Mississippi, Pike",14166,7464,6544
"Mississippi, Pontotoc",9510,6601,2771
"Mississippi, Prentiss",8482,5101,3287
"Mississippi, Quitman",3413,1280,2103
"Mississippi, Rankin",41435,32983,8050
"Mississippi, Scott",9206,5601,3548
"Mississippi, Sharkey",2903,1074,1706
"Mississippi, Simpson",9574,6254,3227
"Mississippi, Smith",6528,4838,1620
"Mississippi, Stone",5523,3702,1677
"Mississippi, Sunflower",8415,3369,4981
"Mississippi, Tallahatchie",5523,2428,3041
"Mississippi, Tate",8693,5148,3441
"Mississippi, Tippah",8403,5381,2908
"Mississippi, Tishomingo",6992,4122,2747
"Mississippi, Tunica",2366,792,1539
"Mississippi, Union",9311,6087,3094
"Mississippi, Walthall",5895,3476,2356
"Mississippi, Warren",18623,10892,7485
"Mississippi, Washington",18328,7367,10405
"Mississippi, Wayne",7705,4635,2981
"Mississippi, Webster",4545,3069,1426
"Mississippi, Wilkinson",4098,1423,2551
"Mississippi, Winston",8368,4645,3672
"Mississippi, Yalobusha",5228,2470,2674
"Mississippi, Yazoo",10516,5254,4997
"Missouri, Adair",10552,6050,4101
"Missouri, Andrew",7274,4257,2795
"Missouri, Atchison",2871,1798,1013
"Missouri, Audrain",9985,5256,4551
"Missouri, Barry",12368,7885,4135
"Missouri, Barton",5366,3836,1424
"Missouri, Bates",7792,4245,3386
"Missouri, Benton",7534,4218,3150
"Missouri, Bollinger",5294,3487,1692
"Missouri, Boone",59609,28426,28811
"Missouri, Buchanan",34751,16423,17085
"Missouri, Butler",14397,9111,4996
"Missouri, Caldwell",3850,2220,1488
"Missouri, Callaway",15308,8238,6708
"Missouri, Camden",17099,10358,6323
"Missouri, Cape Girardeau",29859,19832,9334
"Missouri, Carroll",4581,2880,1620
"Missouri, Carter",2808,1730,997
"Missouri, Cass",35869,20113,14921
"Missouri, Cedar",5663,3530,1979
"Missouri, Chariton",4154,2300,1792
"Missouri, Christian",23228,14824,7896
"Missouri, Clark",3802,1899,1812
"Missouri, Clay",80173,39083,39084
"Missouri, Clinton",8531,4323,3994
"Missouri, Cole",32775,20167,12056
"Missouri, Cooper",6790,4072,2567
"Missouri, Crawford",8302,4754,3350
"Missouri, Dade",3752,2468,1193
"Missouri, Dallas",6219,3723,2311
"Missouri, Daviess",3494,2011,1367
"Missouri, DeKalb",4049,2363,1562
"Missouri, Dent",5988,3996,1839
"Missouri, Douglas",5281,3599,1546
"Missouri, Dunklin",10525,5426,4947
"Missouri, Franklin",39194,21863,16172
"Missouri, Gasconade",6629,4190,2257
"Missouri, Gentry",3105,1771,1271
"Missouri, Greene",102926,59178,41091
"Missouri, Grundy",4708,2976,1563
"Missouri, Harrison",3991,2552,1328
"Missouri, Henry",9778,5120,4459
"Missouri, Hickory",4238,2172,1961
"Missouri, Holt",2662,1738,871
"Missouri, Howard",4512,2414,1944
"Missouri, Howell",14075,9018,4641
"Missouri, Iron",4414,2237,2044
"Missouri, Jackson",272062,104418,160419
"Missouri, Jasper",37481,24899,11737
"Missouri, Jefferson",77204,36766,38616
"Missouri, Johnson",16787,9339,6926
"Missouri, Knox",2055,1226,787
"Missouri, Laclede",13046,8556,4183
"Missouri, Lafayette",14520,7849,6343
"Missouri, Lawrence",12903,8305,4235
"Missouri, Lewis",4484,2388,2023
"Missouri, Lincoln",15913,8549,6961
"Missouri, Linn",6010,3246,2646
"Missouri, Livingston",6276,3709,2425
"Missouri, McDonald",6529,4460,1866
"Missouri, Macon",7175,4232,2817
"Missouri, Madison",4373,2460,1828
"Missouri, Maries",3854,2216,1554
"Missouri, Marion",11712,6550,4993
"Missouri, Mercer",1842,1250,555
"Missouri, Miller",9356,5945,3217
"Missouri, Mississippi",5215,2395,2756
"Missouri, Moniteau",6065,3764,2176
"Missouri, Monroe",4094,2175,1860
"Missouri, Montgomery",5303,3106,2092
"Missouri, Morgan",7881,4460,3235
"Missouri, New Madrid",7266,3416,3738
"Missouri, Newton",21162,14232,6447
"Missouri, Nodaway",9049,5161,3553
"Missouri, Oregon",4233,2521,1568
"Missouri, Osage",6178,4154,1938
"Missouri, Ozark",4292,2663,1432
"Missouri, Pemiscot",6060,2750,3245
"Missouri, Perry",6903,4667,2085
"Missouri, Pettis",15755,9533,5855
"Missouri, Phelps",16146,9444,6262
"Missouri, Pike",7351,3648,3557
"Missouri, Platte",34054,17785,15325
"Missouri, Polk",10294,6430,3606
"Missouri, Pulaski",10531,6531,3800
"Missouri, Putnam",2334,1593,708
"Missouri, Ralls",4542,2446,2033
"Missouri, Randolph",9186,4844,4116
"Missouri, Ray",9747,4517,4970
"Missouri, Reynolds",3131,1762,1298
"Missouri, Ripley",5065,3121,1820
"Missouri, St. Charles",128686,72114,53806
"Missouri, St. Clair",4739,2731,1866
"Missouri, Ste. Genevieve",7311,3505,3600
"Missouri, St. Francois",18841,9327,9075
"Missouri, St. Louis County",486884,224689,250631
"Missouri, Saline",9355,4572,4585
"Missouri, Schuyler",2006,1159,808
"Missouri, Scotland",2179,1335,790
"Missouri, Scott",15704,8999,6452
"Missouri, Shannon",3781,2245,1430
"Missouri, Shelby",3257,1936,1262
"Missouri, Stoddard",12454,7727,4476
"Missouri, Stone",12151,7793,4055
"Missouri, Sullivan",3064,1877,1127
"Missouri, Taney",15112,9647,5092
"Missouri, Texas",9932,6136,3486
"Missouri, Vernon",8408,4985,3156
"Missouri, Warren",10740,5979,4524
"Missouri, Washington",8265,4020,4047
"Missouri, Wayne",5848,3346,2387
"Missouri, Webster",11880,7350,4174
"Missouri, Worth",1158,651,469
"Missouri, Wright",7841,5391,2250
"Missouri, St. Louis City",124752,24799,96557
"Montana, Beaverhead",4196,3113,799
"Montana, Big Horn",4161,1651,2345
"Montana, Blaine",2759,1410,1246
"Montana, Broadwater",2074,1488,462
"Montana, Carbon",4789,3008,1434
"Montana, Carter",645,573,53
"Montana, Cascade",33317,18164,13137
"Montana, Chouteau",2885,2039,686
"Montana, Custer",4905,3156,1501
"Montana, Daniels",1110,750,303
"Montana, Dawson",4271,2723,1364
"Montana, Deer Lodge",4534,1493,2672
"Montana, Fallon",1369,1061,256
"Montana, Fergus",5994,4353,1352
"Montana, Flathead",33839,22519,8329
"Montana, Gallatin",32040,18833,10009
"Montana, Garfield",744,651,61
"Montana, Glacier",4124,1709,2211
"Montana, Golden Valley",531,405,88
"Montana, Granite",1590,1181,295
"Montana, Hill",6558,3392,2760
"Montana, Jefferson",5163,3308,1513
"Montana, Judith Basin",1394,1057,278
"Montana, Lake",11448,6441,3884
"Montana, Lewis and Clark",27269,15091,9982
"Montana, Liberty",1044,752,243
"Montana, Lincoln",7846,5578,1629
"Montana, McCone",1142,827,267
"Montana, Madison",3656,2656,758
"Montana, Meagher",935,698,176
"Montana, Mineral",1639,1078,382
"Montana, Missoula",46576,21474,17241
"Montana, Musselshell",2207,1582,512
"Montana, Park",7406,4523,2154
"Montana, Petroleum",306,254,36
"Montana, Phillips",2228,1727,423
"Montana, Pondera",2896,1948,792
"Montana, Powder River",1008,860,115
"Montana, Powell",2832,1971,638
"Montana, Prairie",746,541,164
"Montana, Ravalli",17238,11241,4451
"Montana, Richland",4033,2858,1018
"Montana, Roosevelt",3813,1605,2059
"Montana, Rosebud",3423,1826,1394
"Montana, Sanders",4721,3144,1165
"Montana, Sheridan",1965,1176,702
"Montana, Silver Bow",16703,6299,8967
"Montana, Stillwater",3918,2765,925
"Montana, Sweet Grass",1846,1450,305
"Montana, Teton",3314,2294,847
"Montana, Toole",2378,1639,630
"Montana, Treasure",479,344,106
"Montana, Valley",3963,2500,1273
"Montana, Wheatland",999,708,243
"Montana, Wibaux",518,369,121
"Montana, Yellowstone",57499,33922,20370
"Nebraska, Adams",12438,8162,3686
"Nebraska, Antelope",3368,2562,678
"Nebraska, Arthur",272,235,26
"Nebraska, Banner",462,390,65
"Nebraska, Blaine",349,299,43
"Nebraska, Boone",2862,2196,575
"Nebraska, Box Butte",5089,3208,1614
"Nebraska, Boyd",1242,931,265
"Nebraska, Brown",1684,1375,250
"Nebraska, Buffalo",16461,11931,3927
"Nebraska, Burt",3392,2056,1223
"Nebraska, Butler",3828,2638,1028
"Nebraska, Cass",10280,6144,3656
"Nebraska, Cedar",4269,2989,1062
"Nebraska, Chase",1875,1505,306
"Nebraska, Cherry",2847,2322,446
"Nebraska, Cheyenne",4186,3207,844
"Nebraska, Clay",3215,2326,774
"Nebraska, Colfax",3315,2338,863
"Nebraska, Cuming",4215,3232,857
"Nebraska, Custer",5414,4245,976
"Nebraska, Dakota",6061,3119,2695
"Nebraska, Dawes",3621,2549,823
"Nebraska, Dawson",7507,5511,1740
"Nebraska, Deuel",1033,783,213
"Nebraska, Dixon",2792,1834,820
"Nebraska, Dodge",14472,8871,5021
"Nebraska, Douglas",183156,101025,73347
"Nebraska, Dundy",1011,801,179
"Nebraska, Fillmore",2998,2024,848
"Nebraska, Franklin",1668,1196,420
"Nebraska, Frontier",1393,1102,244
"Nebraska, Furnas",2431,1849,534
"Nebraska, Gage",9506,5538,3516
"Nebraska, Garden",1219,963,203
"Nebraska, Garfield",963,718,202
"Nebraska, Gosper",1014,757,228
"Nebraska, Grant",385,324,49
"Nebraska, Greeley",1310,839,416
"Nebraska, Hall",18546,11803,5952
"Nebraska, Hamilton",4491,3251,1066
"Nebraska, Harlan",1852,1358,438
"Nebraska, Hayes",571,486,66
"Nebraska, Hitchcock",1480,1126,312
"Nebraska, Holt",4959,3954,846
"Nebraska, Hooker",409,317,74
"Nebraska, Howard",2827,1760,955
"Nebraska, Jefferson",3847,2351,1361
"Nebraska, Johnson",2112,1210,794
"Nebraska, Kearney",3122,2333,680
"Nebraska, Keith",3849,2953,778
"Nebraska, Keya Paha",513,422,78
"Nebraska, Kimball",1820,1379,379
"Nebraska, Knox",3978,2784,1037
"Nebraska, Lancaster",107132,55514,44650
"Nebraska, Lincoln",15114,9220,5205
"Nebraska, Logan",412,336,60
"Nebraska, Loup",378,284,84
"Nebraska, McPherson",301,244,48
"Nebraska, Madison",12853,9636,2772
"Nebraska, Merrick",3340,2380,848
"Nebraska, Morrill",2138,1597,460
"Nebraska, Nance",1665,1105,497
"Nebraska, Nemaha",3369,2177,1063
"Nebraska, Nuckolls",2443,1701,644
"Nebraska, Otoe",6662,4178,2208
"Nebraska, Pawnee",1519,937,522
"Nebraska, Perkins",1452,1170,243
"Nebraska, Phelps",4627,3575,934
"Nebraska, Pierce",3208,2534,570
"Nebraska, Platte",12859,9861,2612
"Nebraska, Polk",2613,1925,610
"Nebraska, Red Willow",5025,3680,1188
"Nebraska, Richardson",4150,2623,1382
"Nebraska, Rock",894,725,141
"Nebraska, Saline",5145,2581,2321
"Nebraska, Sarpy",45278,28979,14637
"Nebraska, Saunders",8919,5688,2852
"Nebraska, Scotts Bluff",13839,9397,3937
"Nebraska, Seward",7016,4457,2250
"Nebraska, Sheridan",2576,2105,392
"Nebraska, Sherman",1705,1072,564
"Nebraska, Sioux",752,629,98
"Nebraska, Stanton",2486,1895,500
"Nebraska, Thayer",3006,2096,821
"Nebraska, Thomas",395,329,55
"Nebraska, Thurston",2082,1040,924
"Nebraska, Valley",2263,1610,583
"Nebraska, Washington",8626,5758,2550
"Nebraska, Wayne",3940,2774,1001
"Nebraska, Webster",1945,1302,584
"Nebraska, Wheeler",453,351,85
"Nebraska, York",6460,4816,1407
"Nevada, Churchill",8823,6237,2191
"Nevada, Clark",382198,170932,196100
"Nevada, Douglas",17974,11193,5837
"Nevada, Elko",14180,11025,2542
"Nevada, Esmeralda",491,333,116
"Nevada, Eureka",837,632,150
"Nevada, Humboldt",5030,3638,1128
"Nevada, Lander",2119,1619,395
"Nevada, Lincoln",1956,1372,461
"Nevada, Lyon",11992,7270,3955
"Nevada, Mineral",2293,1227,916
"Nevada, Nye",12181,6904,4525
"Nevada, Pershing",1802,1221,476
"Nevada, Storey",1798,1014,666
"Nevada, Washoe",122301,63640,52097
"Nevada, White Pine",3543,2234,1069
"Nevada, Carson City",19452,11084,7354
"New Hampshire, Belknap",26795,14799,10719
"New Hampshire, Carroll",23879,12597,9852
"New Hampshire, Cheshire",33395,13793,17382
"New Hampshire, Coos",14600,7329,6570
"New Hampshire, Grafton",38733,18092,18326
"New Hampshire, Hillsborough",165761,80649,77625
"New Hampshire, Merrimack",63684,30028,30622
"New Hampshire, Rockingham",134173,65860,61628
"New Hampshire, Strafford",49393,21108,25400
"New Hampshire, Sullivan",18668,9304,8224
"New Jersey, Atlantic",91102,35593,52880
"New Jersey, Bergen",366721,152731,202682
"New Jersey, Burlington",177541,72254,99506
"New Jersey, Camden",196861,62464,127166
"New Jersey, Cape May",47594,23794,22189
"New Jersey, Cumberland",48684,18882,28188
"New Jersey, Essex",259573,66842,185505
"New Jersey, Gloucester",107298,42315,61095
"New Jersey, Hudson",167361,43804,118206
"New Jersey, Hunterdon",56455,32210,21387
"New Jersey, Mercer",135559,46670,83256
"New Jersey, Middlesex",258849,93545,154998
"New Jersey, Monmouth",262141,119291,131476
"New Jersey, Morris",206508,111066,88039
"New Jersey, Ocean",216393,105684,102104
"New Jersey, Passaic",156573,61043,90324
"New Jersey, Salem",26972,12257,13718
"New Jersey, Somerset",120377,59725,56232
"New Jersey, Sussex",57490,33277,21353
"New Jersey, Union",186373,68554,112003
"New Jersey, Warren",40801,22172,16543
"New Mexico, Bernalillo",204319,95249,99461
"New Mexico, Catron",1711,1273,353
"New Mexico, Chaves",18149,11378,6340
"New Mexico, Cibola",7088,2752,4127
"New Mexico, Colfax",5461,2600,2653
"New Mexico, Curry",11969,8301,3471
"New Mexico, De Baca",982,612,349
"New Mexico, Dona Ana",46653,21263,23912
"New Mexico, Eddy",17787,10335,7108
"New Mexico, Grant",11241,4961,5673
"New Mexico, Guadalupe",1651,548,1076
"New Mexico, Harding",593,366,214
"New Mexico, Hidalgo",1834,954,839
"New Mexico, Lea",14256,10157,3855
"New Mexico, Lincoln",6772,4458,2027
"New Mexico, Los Alamos",10218,5623,4149
"New Mexico, Luna",6612,3395,2975
"New Mexico, McKinley",15879,5070,10281
"New Mexico, Mora",2191,668,1456
"New Mexico, Otero",16204,10258,5465
"New Mexico, Quay",3844,2292,1471
"New Mexico, Rio Arriba",12097,3495,8169
"New Mexico, Roosevelt",5651,3762,1762
"New Mexico, Sandoval",31755,15423,14899
"New Mexico, San Juan",34657,21434,11980
"New Mexico, San Miguel",9161,2215,6540
"New Mexico, Santa Fe",49471,13974,32017
"New Mexico, Sierra",4586,2721,1689
"New Mexico, Socorro",6826,3173,3294
"New Mexico, Taos",10895,2744,7039
"New Mexico, Torrance",4960,2891,1868
"New Mexico, Union",1755,1269,452
"New Mexico, Valencia",21377,10803,9819
"New York, Albany",141969,47624,85617
"New York, Allegany",18689,11436,6336
"New York, Bronx",308048,36245,265801
"New York, Broome",87063,36946,45381
"New York, Cattaraugus",33733,18382,13697
"New York, Cayuga",33978,14988,17031
"New York, Chautauqua",58720,29064,27016
"New York, Chemung",37710,18779,17424
"New York, Chenango",20250,10033,9112
"New York, Clinton",30555,13274,15542
"New York, Columbia",28691,13153,13489
"New York, Cortland",20723,9857,9691
"New York, Delaware",20175,10662,8450
"New York, Dutchess",111762,52669,52390
"New York, Erie",424654,160176,240176
"New York, Essex",17932,8822,7927
"New York, Franklin",17447,7643,8870
"New York, Fulton",21671,11434,9314
"New York, Genesee",26069,14459,10191
"New York, Greene",21094,11332,8480
"New York, Hamilton",3682,2388,1114
"New York, Herkimer",27705,14147,12224
"New York, Jefferson",36418,18192,16799
"New York, Kings",617105,96605,497468
"New York, Lewis",10923,6103,4333
"New York, Livingston",27223,15244,10476
"New York, Madison",28366,14879,12017
"New York, Monroe",317762,141266,161743
"New York, Montgomery",20809,9765,10249
"New York, Nassau",589707,226954,341610
"New York, New York",563232,79921,449300
"New York, Niagara",93257,40952,47781
"New York, Oneida",95996,47603,43933
"New York, Onondaga",203629,83678,109896
"New York, Ontario",45948,23885,19761
"New York, Orange",126549,62852,58170
"New York, Orleans",15843,9202,5991
"New York, Oswego",48473,23249,22857
"New York, Otsego",25358,12219,11460
"New York, Putnam",42547,21853,18525
"New York, Queens",555930,122052,416967
"New York, Rensselaer",68436,29562,34808
"New York, Richmond",142121,63903,73828
"New York, Rockland",122580,48441,69530
"New York, St. Lawrence",39779,16449,21386
"New York, Saratoga",95057,46623,43359
"New York, Schenectady",66946,27961,35534
"New York, Schoharie",13548,7459,5390
"New York, Schuyler",8153,4381,3301
"New York, Seneca",14333,6734,6841
"New York, Steuben",40563,24200,14600
"New York, Suffolk",573866,240992,306306
"New York, Sullivan",28524,12703,14348
"New York, Tioga",22454,12239,9170
"New York, Tompkins",40060,13351,21807
"New York, Ulster",78225,33447,38162
"New York, Warren",28621,14993,12193
"New York, Washington",23555,12596,9641
"New York, Wayne",38329,21701,14977
"New York, Westchester",371775,139278,218010
"New York, Wyoming",17627,10809,5935
"New York, Yates",10052,5565,3962
"North Carolina, Alamance",47091,29305,17459
"North Carolina, Alexander",13492,9242,4166
"North Carolina, Alleghany",4313,2531,1715
"North Carolina, Anson",7985,3161,4792
"North Carolina, Ashe",10316,6226,4011
"North Carolina, Avery",6694,4956,1686
"North Carolina, Beaufort",17313,10531,6634
"North Carolina, Bertie",7176,2488,4660
"North Carolina, Bladen",10908,4977,5889
"North Carolina, Brunswick",28839,15427,13118
"North Carolina, Buncombe",85476,46101,38545
"North Carolina, Burke",30658,18466,11924
"North Carolina, Cabarrus",49381,32704,16284
"North Carolina, Caldwell",26115,17337,8588
"North Carolina, Camden",2831,1628,1187
"North Carolina, Carteret",26461,17381,8839
"North Carolina, Caswell",8422,4270,4091
"North Carolina, Catawba",50841,34244,16246
"North Carolina, Chatham",20931,10248,10461
"North Carolina, Cherokee",9674,6305,3239
"North Carolina, Chowan",4890,2415,2430
"North Carolina, Clay",3852,2416,1361
"North Carolina, Cleveland",32746,19064,13455
"North Carolina, Columbus",18425,8342,9986
"North Carolina, Craven",31985,19494,12213
"North Carolina, Cumberland",77151,38129,38626
"North Carolina, Currituck",6739,4095,2595
"North Carolina, Dare",13002,7301,5589
"North Carolina, Davidson",52047,35387,16199
"North Carolina, Davie",13998,10184,3651
"North Carolina, Duplin",14390,7840,6475
"North Carolina, Durham",84604,30150,53907
"North Carolina, Edgecombe",18202,6836,11315
"North Carolina, Forsyth",120942,67700,52457
"North Carolina, Franklin",16051,8501,7454
"North Carolina, Gaston",59179,39453,19281
"North Carolina, Gates",3446,1480,1944
"North Carolina, Graham",3361,2304,1006
"North Carolina, Granville",15194,7364,7733
"North Carolina, Greene",5870,3353,2478
"North Carolina, Guilford",166264,84394,80787
"North Carolina, Halifax",16970,6698,10222
"North Carolina, Harnett",24167,14762,9155
"North Carolina, Haywood",22273,12118,9793
"North Carolina, Henderson",38607,25688,12562
"North Carolina, Hertford",7897,2382,5484
"North Carolina, Hoke",8582,3439,5017
"North Carolina, Hyde",2237,1132,1088
"North Carolina, Iredell",45586,29853,15434
"North Carolina, Jackson",12121,6237,5722
"North Carolina, Johnston",41155,27212,13704
"North Carolina, Jones",3964,2114,1822
"North Carolina, Lee",16283,9406,6785
"North Carolina, Lenoir",21163,11512,9527
"North Carolina, Lincoln",24529,15951,8412
"North Carolina, McDowell",14011,9109,4747
"North Carolina, Macon",13234,8406,4683
"North Carolina, Madison",8325,4676,3505
"North Carolina, Martin",9366,4420,4929
"North Carolina, Mecklenburg",263036,134068,126911
"North Carolina, Mitchell",6600,4984,1535
"North Carolina, Montgomery",8974,4946,3979
"North Carolina, Moore",31301,19882,11232
"North Carolina, Nash",30513,17995,12376
"North Carolina, New Hanover",66319,36503,29292
"North Carolina, Northampton",8200,2667,5513
"North Carolina, Onslow",30215,19657,10269
"North Carolina, Orange",49344,17930,30921
"North Carolina, Pamlico",5242,2999,2188
"North Carolina, Pasquotank",10903,4943,5874
"North Carolina, Pender",14154,7661,6415
"North Carolina, Perquimans",4306,2230,2033
"North Carolina, Person",11833,6722,5042
"North Carolina, Pitt",43075,23192,19685
"North Carolina, Polk",8303,5074,3114
"North Carolina, Randolph",42696,30959,11366
"North Carolina, Richmond",14269,6263,7935
"North Carolina, Robeson",29747,11721,17834
"North Carolina, Rockingham",32528,18979,13260
"North Carolina, Rowan",44133,28922,14891
"North Carolina, Rutherford",21716,13755,7697
"North Carolina, Sampson",19239,10410,8768
"North Carolina, Scotland",9403,3740,5627
"North Carolina, Stanly",22818,15548,7066
"North Carolina, Stokes",17182,12028,5030
"North Carolina, Surry",23358,15401,7757
"North Carolina, Swain",4370,2224,2097
"North Carolina, Transylvania",14225,9011,5044
"North Carolina, Tyrrell",1566,706,849
"North Carolina, Union",47161,31876,14890
"North Carolina, Vance",12701,5564,7092
"North Carolina, Wake",268220,142494,123466
"North Carolina, Warren",6795,2202,4576
"North Carolina, Washington",4890,2169,2704
"North Carolina, Watauga",18723,10438,7959
"North Carolina, Wayne",33884,20758,13005
"North Carolina, Wilkes",24323,16826,7226
"North Carolina, Wilson",24826,13466,11266
"North Carolina, Yadkin",13682,10435,3127
"North Carolina, Yancey",8764,4970,3714
"North Dakota, Adams",1160,826,286
"North Dakota, Barnes",5748,3452,1933
"North Dakota, Benson",2154,1055,952
"North Dakota, Billings",525,394,82
"North Dakota, Bottineau",3690,2349,1173
"North Dakota, Bowman",1471,1080,330
"North Dakota, Burke",1039,698,296
"North Dakota, Burleigh",34482,22467,9842
"North Dakota, Cass",58995,33536,21451
"North Dakota, Cavalier",2371,1513,618
"North Dakota, Dickey",2786,1853,806
"North Dakota, Divide",794,443,306
"North Dakota, Dunn",1728,1124,474
"North Dakota, Eddy",1268,703,458
"North Dakota, Emmons",1992,1430,405
"North Dakota, Foster",1743,1172,474
"North Dakota, Golden Valley",812,611,156
"North Dakota, Grand Forks",28385,15875,10593
"North Dakota, Grant",1427,1077,235
"North Dakota, Griggs",1469,920,484
"North Dakota, Hettinger",1519,1057,353
"North Dakota, Kidder",1276,837,283
"North Dakota, LaMoure",2468,1590,689
"North Dakota, Logan",1145,812,223
"North Dakota, McHenry",2737,1682,888
"North Dakota, McIntosh",1637,1178,350
"North Dakota, McKenzie",2364,1634,653
"North Dakota, McLean",4646,2891,1465
"North Dakota, Mercer",4353,2984,1011
"North Dakota, Morton",11223,6993,3439
"North Dakota, Mountrail",2896,1466,1256
"North Dakota, Nelson",1840,1031,687
"North Dakota, Oliver",1051,709,244
"North Dakota, Pembina",3779,2430,1093
"North Dakota, Pierce",1971,1348,500
"North Dakota, Ramsey",4977,3005,1658
"North Dakota, Ransom",2719,1488,1080
"North Dakota, Renville",1332,820,443
"North Dakota, Richland",8015,4999,2490
"North Dakota, Rolette",4398,1416,2681
"North Dakota, Sargent",2184,1103,959
"North Dakota, Sheridan",928,707,161
"North Dakota, Sioux",1041,269,724
"North Dakota, Slope",442,316,85
"North Dakota, Stark",9777,6387,2784
"North Dakota, Steele",1210,655,475
"North Dakota, Stutsman",9118,5488,3067
"North Dakota, Towner",1189,694,410
"North Dakota, Traill",4112,2392,1512
"North Dakota, Walsh",5182,3099,1743
"North Dakota, Ward",22482,13997,7533
"North Dakota, Wells",2410,1610,661
"North Dakota, Williams",7807,5187,2330
"Ohio, Adams",10235,6380,3581
"Ohio, Allen",43795,28647,13996
"Ohio, Ashland",21258,13533,6685
"Ohio, Ashtabula",39472,17940,19831
"Ohio, Athens",25447,9703,13158
"Ohio, Auglaize",19892,13770,5564
"Ohio, Belmont",30141,12625,15980
"Ohio, Brown",16429,10027,5972
"Ohio, Butler",136737,86587,46390
"Ohio, Carroll",12261,6732,4960
"Ohio, Champaign",15680,9220,5955
"Ohio, Clark",57559,27660,27984
"Ohio, Clermont",69877,47129,20927
"Ohio, Clinton",15070,9824,4791
"Ohio, Columbiana",44427,21804,20657
"Ohio, Coshocton",14268,8243,5594
"Ohio, Crawford",19176,11666,6721
"Ohio, Cuyahoga",574782,192099,359913
"Ohio, Darke",23267,14817,7741
"Ohio, Defiance",16242,9540,6175
"Ohio, Delaware",55403,36639,17134
"Ohio, Erie",35015,16105,17732
"Ohio, Fairfield",54094,33523,19065
"Ohio, Fayette",9278,5685,3363
"Ohio, Franklin",414074,197862,202018
"Ohio, Fulton",18896,11546,6805
"Ohio, Gallia",12776,7511,4872
"Ohio, Geauga",42600,25417,15327
"Ohio, Greene",65204,37946,25059
"Ohio, Guernsey",15430,8181,6643
"Ohio, Hamilton",377899,204175,161578
"Ohio, Hancock",30617,20985,8798
"Ohio, Hardin",12068,7124,4557
"Ohio, Harrison",7161,3417,3351
"Ohio, Henry",13252,8530,4367
"Ohio, Highland",15447,9728,5328
"Ohio, Hocking",10756,5702,4474
"Ohio, Holmes",9145,6754,2066
"Ohio, Huron",21360,12286,8183
"Ohio, Jackson",12490,6958,5131
"Ohio, Jefferson",34636,15038,17488
"Ohio, Knox",21260,13393,7133
"Ohio, Lake",102564,51747,46497
"Ohio, Lawrence",24452,12531,11307
"Ohio, Licking",62466,37180,23196
"Ohio, Logan",18455,11849,5945
"Ohio, Lorain",112180,47957,59809
"Ohio, Lucas",187350,73342,108344
"Ohio, Madison",14667,8892,5287
"Ohio, Mahoning",114119,40460,69212
"Ohio, Marion",24815,13617,10370
"Ohio, Medina",66883,37349,26635
"Ohio, Meigs",9795,5750,3674
"Ohio, Mercer",18294,12485,5212
"Ohio, Miami",42841,26037,15584
"Ohio, Monroe",7115,3145,3605
"Ohio, Montgomery",230987,109792,114597
"Ohio, Morgan",5993,3451,2261
"Ohio, Morrow",12839,7842,4529
"Ohio, Muskingum",32624,17995,13415
"Ohio, Noble",5988,3435,2296
"Ohio, Ottawa",19968,9917,9485
"Ohio, Paulding",8946,5210,3384
"Ohio, Perry",12828,6440,5895
"Ohio, Pickaway",17740,10717,6598
"Ohio, Pike",10560,5333,4923
"Ohio, Portage",62899,28271,31446
"Ohio, Preble",18166,11176,6375
"Ohio, Putnam",17344,12837,4063
"Ohio, Richland",52779,30138,20572
"Ohio, Ross",26016,13706,11662
"Ohio, Sandusky",25744,13699,11146
"Ohio, Scioto",29945,15022,13997
