Location,Total_Votes_2016,2016_republican_votes,2016_democrat_votes
"Florida, Calhoun",6081,4655,1241
"Florida, Charlotte",96374,60218,33445
"Florida, Citrus",79700,54456,22789
"Florida, Clay",106483,74963,27822
"Florida, Collier",170789,105423,61085
"Florida, Columbia",28707,20368,7601
"Florida, Dixie",7202,5822,1270
"Florida, Duval",432695,211672,205704
"Florida, Escambia",152469,88808,57461
"Florida, Flagler",57503,33850,22026
"Florida, Franklin",6015,4125,1744
"Florida, Gadsden",22113,6728,15020
"Florida, Gilchrist",8420,6740,1458
"Florida, Glades",4353,2996,1271
"Florida, Gulf",7293,5329,1720
"Florida, Hamilton",5460,3443,1904
"Florida, Hardee",7583,5242,2149
"Florida, Hendry",11115,6195,4615
"Florida, Hernando",93796,58970,31795
"Florida, Highlands",45686,29565,14937
"Florida, Hillsborough",597660,266870,307896
"Florida, Holmes",8514,7483,853
"Florida, Indian River",80009,48620,29043
"Florida, Jackson",21041,14257,6397
"Florida, Jefferson",7645,3930,3541
"Florida, Lafayette",3392,2809,518
"Florida, Lake",170462,102188,62838
"Florida, Lee",326420,191551,124908
"Florida, Leon",152132,53821,92068
"Florida, Levy",19395,13775,5101
"Florida, Liberty",3296,2543,651
"Florida, Madison",8505,4851,3526
"Florida, Manatee",178958,101944,71224
"Florida, Marion",174700,107833,62041
"Florida, Martin",85792,53204,30185
"Florida, Miami-Dade",980204,333999,624146
"Florida, Monroe",42478,21904,18971
"Florida, Nassau",46607,34266,10869
"Florida, Okaloosa",100855,71893,23780
"Florida, Okeechobee",13653,9356,3959
"Florida, Orange",546275,195216,329894
"Florida, Osceola",140206,50301,85458
"Florida, Palm Beach",662332,272402,374673
"Florida, Pasco",241139,142101,90142
"Florida, Pinellas",492403,239201,233701
"Florida, Polk",284314,157430,117433
"Florida, Putnam",33117,22138,10094
"Florida, Santa Rosa",87745,65339,18464
"Florida, Sarasota",229063,124438,97870
"Florida, Seminole",224896,109443,105914
"Florida, St. Johns",136514,88684,43099
"Florida, St. Lucie",140847,70289,66881
"Florida, Sumter",76665,52730,22638
"Florida, Suwannee",18694,14287,3964
"Florida, Taylor",9290,6930,2152
"Florida, Union",5694,4568,1014
"Florida, Volusia",260869,143007,109091
"Florida, Wakulla",15351,10512,4348
"Florida, Walton",33637,25756,6876
"Florida, Washington",11156,8637,2264
"Georgia, Appling",7012,5494,1434
"Georgia, Atkinson",2610,1878,697
"Georgia, Bacon",4020,3364,608
"Georgia, Baker",1440,775,650
"Georgia, Baldwin",16116,7697,7970
"Georgia, Banks",6975,6134,684
"Georgia, Barrow",29060,21108,6580
"Georgia, Bartow",39550,29911,8212
"Georgia, Ben Hill",5936,3739,2101
"Georgia, Berrien",6590,5422,1047
"Georgia, Bibb",62596,24043,36787
"Georgia, Bleckley",4974,3719,1101
"Georgia, Brantley",6301,5567,619
"Georgia, Brooks",6336,3701,2528
"Georgia, Bryan",15173,10529,4014
"Georgia, Bulloch",25316,15097,9261
"Georgia, Burke",9351,4491,4731
"Georgia, Butts",9514,6717,2566
"Georgia, Calhoun",2025,830,1179
"Georgia, Camden",18901,12310,5930
"Georgia, Candler",3763,2664,1026
"Georgia, Carroll",44121,30029,12464
"Georgia, Catoosa",26757,20876,4771
"Georgia, Charlton",4016,2951,1004
"Georgia, Chatham",112142,45688,62290
"Georgia, Chattahoochee",1390,751,594
"Georgia, Chattooga",8252,6462,1613
"Georgia, Cherokee",112043,80649,25231
"Georgia, Clarke",44976,12717,29603
"Georgia, Clay",1273,566,697
"Georgia, Clayton",92859,12645,78220
"Georgia, Clinch",2455,1727,686
"Georgia, Cobb",330819,152912,160121
"Georgia, Coffee",13915,9588,4094
"Georgia, Colquitt",13624,9898,3463
"Georgia, Columbia",64743,43085,18887
"Georgia, Cook",6057,4176,1753
"Georgia, Coweta",61745,42533,16583
"Georgia, Crawford",5176,3635,1421
"Georgia, Crisp",7512,4549,2837
"Georgia, Dade",6242,5051,965
"Georgia, Dawson",11765,9900,1448
"Georgia, DeKalb",314757,51468,251370
"Georgia, Decatur",10286,6020,4124
"Georgia, Dodge",7009,5021,1839
"Georgia, Dooly",3859,1951,1872
"Georgia, Dougherty",34087,10232,23311
"Georgia, Douglas",57738,24817,31005
"Georgia, Early",4785,2552,2168
"Georgia, Echols",1182,1007,156
"Georgia, Effingham",23458,17874,4853
"Georgia, Elbert",7987,5292,2539
